dataset_name,init_mode,index,time,tip_error,tip_dyn_saved,tip_dyn_replay,solver_exit,residual_norm,u_prev,u_curr,u_next,classification
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,0,0.0,34.389332326419414,"[-0.8272591911468055, 3.125050006440406, 94.23221079605595]","[-0.6508586331884046, 36.47902463805382, 85.85919240519144]",0,0.0018800380905404281,"[nan, nan, nan]","[0.0, 0.0, 0.01]","[0.001, 0.00033333333333333365, 0.011250000000000001]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,1,0.05,29.1777575377603,"[-0.7996031352037971, 3.184975907851682, 94.23172111140894]","[-0.706871248409155, 31.683165334301215, 87.9718381138043]",0,0.005066435805037689,"[0.0, 0.0, 0.01]","[0.001, 0.00033333333333333365, 0.011250000000000001]","[0.002, 0.0006666666666666673, 0.0125]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,2,0.1,23.853415957909228,"[-0.9552335768826483, 3.4674990445942706, 94.21469773132935]","[-0.8009547987589922, 26.900674664116607, 89.75959601483811]",0,5.271326690235465e-08,"[0.001, 0.00033333333333333365, 0.011250000000000001]","[0.002, 0.0006666666666666673, 0.0125]","[0.003, 0.0010000000000000009, 0.013750000000000002]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,3,0.15000000000000002,19.165150760600174,"[-0.9967521468090328, 3.742612324077693, 94.19932828036933]","[-0.8842467009133929, 22.652811893656246, 91.08569721039838]",0,1.505347509162591e-08,"[0.002, 0.0006666666666666673, 0.0125]","[0.003, 0.0010000000000000009, 0.013750000000000002]","[0.004, 0.0013333333333333346, 0.015000000000000001]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,4,0.2,15.222068973841736,"[-0.9960059013567035, 4.070212487000619, 94.18124179357157]","[-0.9536944817440651, 19.135411721273897, 92.00193786345595]",0,1.9051663806819653e-06,"[0.003, 0.0010000000000000009, 0.013750000000000002]","[0.004, 0.0013333333333333346, 0.015000000000000001]","[0.004999999999999999, 0.001666666666666668, 0.01625]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,5,0.25,11.9858143456405,"[-0.988691324238739, 4.468724836003356, 94.15778647798409]","[-1.0080435720532293, 16.354500923530416, 92.61256875357238]",0,1.1447748335440278e-06,"[0.004, 0.0013333333333333346, 0.015000000000000001]","[0.004999999999999999, 0.001666666666666668, 0.01625]","[0.006, 0.0020000000000000018, 0.0175]",expected_initial_state_mismatch
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,6,0.30000000000000004,9.364949861215619,"[-0.9822978055667925, 4.933842426152458, 94.1279605145638]","[-1.047175326346236, 14.231844541312325, 93.0120602157635]",0,1.814516606570622e-07,"[0.004999999999999999, 0.001666666666666668, 0.01625]","[0.006, 0.0020000000000000018, 0.0175]","[0.007, 0.0023333333333333353, 0.018750000000000003]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,7,0.35000000000000003,7.261145072912048,"[-0.9811125078724091, 5.4559208948217375, 94.09118696881575]","[-1.0731221722412536, 12.669818842496284, 93.26933637894274]",0,3.868869004413473e-07,"[0.006, 0.0020000000000000018, 0.0175]","[0.007, 0.0023333333333333353, 0.018750000000000003]","[0.008, 0.002666666666666669, 0.020000000000000004]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,8,0.4,5.589105007040945,"[-0.9875796051946657, 6.024759073463203, 94.0471049877052]","[-1.0901211413122704, 11.578770188507237, 93.43022530164954]",0,1.337931665707089e-06,"[0.007, 0.0023333333333333353, 0.018750000000000003]","[0.008, 0.002666666666666669, 0.020000000000000004]","[0.009, 0.0030000000000000027, 0.021250000000000005]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,9,0.45,4.277281975739724,"[-1.002795392499435, 6.63142032212316, 93.99544914853605]","[-1.1037438855350856, 10.881461669476868, 93.52417529234879]",0,1.8083116025163287e-06,"[0.008, 0.002666666666666669, 0.020000000000000004]","[0.009, 0.0030000000000000027, 0.021250000000000005]","[0.009999999999999998, 0.003333333333333336, 0.022500000000000003]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,10,0.5,3.2619022856547493,"[-1.0270202931150287, 7.268328027434044, 93.93603740936055]","[-1.1191581582245689, 10.508344794282413, 93.5702389873927]",0,1.8584170697823054e-07,"[0.009, 0.0030000000000000027, 0.021250000000000005]","[0.009999999999999998, 0.003333333333333336, 0.022500000000000003]","[0.011, 0.0036666666666666696, 0.02375]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,11,0.55,2.4837827238920087,"[-1.0598837854087033, 7.929044371076775, 93.86875361597266]","[-1.1398141595055045, 10.394812663510022, 93.581048067135]",0,1.3427917468441077e-06,"[0.009999999999999998, 0.003333333333333336, 0.022500000000000003]","[0.011, 0.0036666666666666696, 0.02375]","[0.012, 0.0040000000000000036, 0.025000000000000005]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,12,0.6000000000000001,1.8902423528922427,"[-1.1003611161563551, 8.607894702977413, 93.79355380790592]","[-1.1673135603185978, 10.483085253467387, 93.56509391593052]",0,5.334940321905384e-07,"[0.011, 0.0036666666666666696, 0.02375]","[0.012, 0.0040000000000000036, 0.025000000000000005]","[0.013, 0.0043333333333333375, 0.026250000000000002]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,13,0.65,1.4379934850039278,"[-1.147068665324526, 9.2993981044568, 93.71057204827547]","[-1.2021665538421866, 10.724705360163162, 93.52812010275161]",0,8.636449672196074e-09,"[0.012, 0.0040000000000000036, 0.025000000000000005]","[0.013, 0.0043333333333333375, 0.026250000000000002]","[0.014, 0.0046666666666666705, 0.027500000000000004]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,14,0.7000000000000001,1.0936159252534707,"[-1.1989101139749032, 9.998282230379772, 93.62016983389422]","[-1.24440248433482, 11.081135184120729, 93.4740338808179]",0,4.9837249333851755e-06,"[0.013, 0.0043333333333333375, 0.026250000000000002]","[0.014, 0.0046666666666666705, 0.027500000000000004]","[0.015, 0.0050000000000000044, 0.028750000000000005]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,15,0.75,0.8314037795629232,"[-1.2557748306028351, 10.70026416574567, 93.52276614658354]","[-1.2938802214056633, 11.522489059719206, 93.40560622342939]",0,3.5303598191396602e-06,"[0.014, 0.0046666666666666705, 0.027500000000000004]","[0.015, 0.0050000000000000044, 0.028750000000000005]","[0.016, 0.005333333333333338, 0.030000000000000006]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,16,0.8,0.6316174561410488,"[-1.3181341695508464, 11.402232230967716, 93.4187124520473]","[-1.350432016215914, 12.025998456706443, 93.32483404329133]",0,1.9845536294573844e-07,"[0.015, 0.0050000000000000044, 0.028750000000000005]","[0.016, 0.005333333333333338, 0.030000000000000006]","[0.016999999999999998, 0.005666666666666671, 0.03125000000000001]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,17,0.8500000000000001,0.47915225711508724,"[-1.3863373072503973, 12.10171476569003, 93.30835586100233]","[-1.4138484513639564, 12.574151401865329, 93.23329823482474]",0,1.2106046440704855e-07,"[0.016, 0.005333333333333338, 0.030000000000000006]","[0.016999999999999998, 0.005666666666666671, 0.03125000000000001]","[0.018, 0.006000000000000005, 0.0325]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,237,11.850000000000001,0.4252636004499816,"[9.002724651044925, 32.76659976286762, 86.32352409438187]","[8.58139163278721, 32.819873898909435, 86.34564838019007]",0,1.0517069662492082e-07,"[-0.27, 0.15000000000000002, 0.22000000000000003]","[-0.27999999999999997, 0.14, 0.22000000000000003]","[-0.27999999999999997, 0.15000000000000002, 0.22000000000000003]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,zero,235,11.75,0.42235041230470016,"[9.154849767516234, 33.340523729424895, 86.02224901697765]","[8.86023120046083, 33.627565661924514, 85.92640174415753]",0,3.921064673430658e-08,"[-0.26, 0.15000000000000002, 0.22000000000000003]","[-0.27, 0.14, 0.22000000000000003]","[-0.27, 0.15000000000000002, 0.22000000000000003]",ok
dyn_fk_lem1_y40_a10_L94_hold1.npz,warm,0,0.0,34.389332326419414,"[-0.8272591911468055, 3.125050006440406, 94.23221079605595]","[-0.6508586331884046, 36.47902463805382, 85.85919240519144]",0,0.0018800380905404281,"[nan, nan, nan]","[0.0, 0.0, 0.01]","[0.001, 0.00033333333333333365, 0.011250000000000001]",expected_initial_state_mismatch
